file_gopro;raw_arcgis;ransac_arcgis;H_arcgis;F_arcgis;time_arcgis;ransac_rot_arcgis;H_rotarcgis;F_rotarcgis;time_rot_arcgis;raw_google;ransac_google;H_google;F_google;time_google;ransac_rot_google;H_rotgoogle;F_rotgoogle;time_rot_google;raw_geoportal;ransac_geoportal;H_geoportal;F_geoportal;time_geoportal;ransac_rot_geoportal;H_rotgeoportal;F_rotgeoportal;time_rot_geoportal
1540.jpg;165;5;;;445;4;;;432;198;10;[[-3.0755579161015976, 1.8559015985324314, 793.2385391995307], [-2.561974229442925, 1.9073171108581435, 40.32004154661977], [-0.0027821476106154185, 0.001199428362831898, 1.0]];[[5.058156938848017e-08, -1.3628896511274233e-06, 0.0012927987192423718], [1.0995334747679865e-06, -1.5911823598762524e-07, -0.0015233157204840725], [-0.0013128681501831595, 0.001004475118368579, 1.0]];468;42;[[0.7915772871888027, -0.2803946976554355, 464.5457937002504], [-0.054934255864063676, 0.5478509776165559, 59.401468344353454], [2.1163725627705763e-05, -0.0002928160398856195, 1.0]];[[2.5667447663533534e-07, 2.1062828684396844e-06, -0.0027781882060442216], [-3.01476740858243e-06, 1.7487437650750286e-06, 0.009430676882200298], [0.0030854976968235233, -0.009678926759496208, -2.741938954553196]];414;209;4;;;448;5;;;430
15425.jpg;240;5;;;500;4;;;437;281;4;;;451;4;;;429;291;4;;;446;4;;;430
1552.jpg;212;5;;;508;4;;;442;269;4;;;441;2;;;434;224;5;;;435;4;;;429
15544.jpg;250;4;;;443;4;;;435;271;6;;;448;5;;;436;253;5;;;449;5;;;434
1562.jpg;200;5;;;458;4;;;432;245;2;;;438;2;;;430;219;4;;;455;5;;;429
15661.jpg;273;4;;;449;4;;;430;265;5;;;434;9;[[1.0864318449335613, -0.23175232406556162, -142.86657600138895], [0.08178988049651612, 1.090959528572293, -446.32150909630366], [-6.392709960665252e-05, -0.00011044814397471085, 0.9999999999999999]];[[-0.1915378277375538, 4.433594010994528, -1053.265222997039], [-4.336051223541762, -0.27418736988864106, 6436.442488827184], [2648.668712033622, -6033.894963281075, -2065872.2723388798]];425;235;5;;;446;4;;;438
15779.jpg;273;4;;;449;5;;;481;288;6;;;456;8;[[0.8079366429948912, -0.972819254798367, 393.22723022190513], [0.14330082957879892, 0.07779500008543036, 73.35019555476421], [8.123889231237999e-05, -0.0007531918579855442, 1.0]];[[1.254750587537722e-05, -0.00010515046977354973, 0.05420610740466636], [9.425826886277057e-05, -1.0636810093269215e-05, -0.12469888616632899], [-0.0950740538422395, 0.15144592252160172, 29.72922792216536]];434;261;3;;;455;4;;;437
1586.jpg;236;4;;;438;4;;;431;270;3;;;444;4;;;432;255;5;;;450;5;;;505
15898.jpg;297;5;;;442;4;;;431;287;4;;;463;1;;;502;244;5;;;455;5;;;431
16015.jpg;260;4;;;444;5;;;429;288;5;;;443;5;;;456;254;4;;;461;4;;;436
1607.jpg;207;5;;;451;5;;;451;256;4;;;439;6;;;435;249;5;;;443;4;;;434
16126.jpg;289;4;;;441;6;;;435;294;5;;;505;7;;;425;279;5;;;437;5;;;431
16238.jpg;251;5;;;435;6;;;425;282;4;;;454;19;[[1.200576312835342, -0.2764630093624698, -151.4996821879275], [0.1535072239138305, 1.1341065516844608, -574.3151866173234], [-9.425896452608621e-06, -0.00011860912242995599, 1.0]];[[6.010730591241202, -44.51275693135003, 38901.86666690082], [46.31125056361982, 4.875458765263971, -61456.584730511204], [-59390.4088271906, 50260.35724432763, 20131271.68970742]];425;254;2;;;449;4;;;425
1631.jpg;214;5;;;442;4;;;427;272;5;;;431;5;;;562;258;5;;;450;4;;;507
16349.jpg;256;6;;;440;5;;;426;283;4;;;438;23;[[1.2443608546518494, -0.22828233492204875, -222.22799408289225], [0.14408900980255848, 1.2053949197069473, -625.110994384935], [-1.2845037162625894e-05, -7.890804152969027e-05, 1.0]];[[4.852540244674519e-07, -4.125938435030302e-06, 0.002216421483378904], [4.131248900317142e-06, 6.775928456929962e-07, -0.001701747630427448], [-0.003943575034687988, 0.001781513968477437, 0.22923413862869957]];415;249;6;;;436;5;;;433
16460.jpg;250;4;;;445;5;;;447;296;4;;;444;5;;;429;251;3;;;544;4;;;439
1652.jpg;217;4;;;446;4;;;435;271;5;;;482;4;;;432;265;4;;;496;5;;;433
16570.jpg;247;4;;;443;17;[[1.2481114878500117, -0.20563499472727456, -268.00701784643405], [0.13001031417932785, 1.2334722583675588, -633.6011847519711], [-1.4526578800710415e-05, -7.31501455694832e-05, 1.0]];[[-0.028990679064464966, 0.2688199176882961, -166.410466885142], [-0.2771474540486635, -0.03418374452631304, 139.8906577148162], [279.19613961446004, -150.68197373603846, -17888.653360237935]];444;253;4;;;449;7;;;424;245;5;;;454;4;;;432
1661.jpg;213;4;;;441;4;;;428;265;3;;;445;4;;;428;255;4;;;436;5;;;426
16679.jpg;253;4;;;436;6;;;428;277;3;;;625;7;;;424;255;5;;;442;5;;;433
1676.jpg;220;4;;;446;5;;;429;266;4;;;447;5;;;430;272;4;;;436;7;;;426
16790.jpg;239;4;;;439;2;;;477;257;4;;;454;5;;;430;234;5;;;438;6;;;430
16901.jpg;263;4;;;448;4;;;429;245;5;;;439;5;;;437;265;5;;;452;4;;;431
1700.jpg;204;5;;;444;6;;;427;282;5;;;440;5;;;431;251;5;;;442;6;;;421
17012.jpg;250;5;;;440;4;;;433;265;4;;;442;7;;;424;269;2;;;450;5;;;432
17123.jpg;273;5;;;501;4;;;430;284;3;;;432;28;[[1.0739403540261887, -0.24561901781125656, -106.51468573033166], [0.09918600204343776, 1.084468746547711, -515.5615185050616], [-7.345769732908513e-05, -9.938870636384483e-05, 1.0]];[[-1.9541776989610008e-07, 8.181308068580699e-07, -0.001440454967889251], [-6.813059844888054e-07, 1.8251454207979524e-07, 0.003974818463850625], [0.0019040315418837731, -0.003355228067400171, -1.5206601173295748]];411;257;5;;;444;5;;;568
1723.jpg;204;5;;;439;4;;;432;280;5;;;437;5;;;431;248;3;;;450;4;;;445
17234.jpg;248;6;;;441;2;;;431;250;5;;;442;49;[[1.0798127463688132, -0.23394466789849303, -132.34010208650795], [0.09325986439168618, 1.0932557693829854, -506.32168858110214], [-7.044035342846137e-05, -0.00010030250617243283, 1.0]];[[-0.36170011710424266, 3.030084965157111, -1587.5185501661824], [-3.121759477251163, -0.49319336571530975, 1858.7800806025734], [2953.5908679597956, -1730.5826170418038, -475519.0429712087]];411;247;6;;;526;3;;;434
1726.jpg;205;4;;;451;5;;;432;245;1;;;448;5;;;510;242;5;;;439;4;;;444
17347.jpg;279;4;;;450;7;;;424;248;5;;;433;56;[[1.0987040442646294, -0.23800453568950122, -161.1266784955582], [0.10513425752632716, 1.0902572783267008, -507.20901547385233], [-5.6550178614871e-05, -0.00010837878168604406, 1.0]];[[2.9199684185852543e-08, -1.365448704714621e-06, -0.0015746137123577924], [1.0092460057145804e-06, -1.3860009988370897e-07, -0.003708789182665778], [0.0005941688852880596, 0.003812764888089796, 2.013746766335269]];412;253;3;;;443;6;;;426
1745.jpg;217;5;;;451;5;;;427;260;5;;;460;6;;;430;234;5;;;445;5;;;432
